Datum; Uhrzeit; eCO2 (ppm); tVOC (ppb); Temperatur (°C); Luftdruck (hpPa); relative Luftfeuchte (%)
2025-07-07; 01:47:20; 400; 0; 29.02; 993.236875; 33.0322265625
2025-07-07; 01:48:20; 408; 1; 29.1; 993.2446875; 32.958984375
2025-07-07; 01:49:20; 451; 7; 29.24; 993.236484375; 32.6513671875
2025-07-07; 01:50:20; 442; 6; 29.26; 993.213046875; 32.5166015625
2025-07-07; 01:51:20; 442; 6; 29.42; 993.2009375; 32.25390625
2025-07-07; 01:52:20; 427; 4; 29.25; 993.1974609375; 32.60546875
2025-07-07; 01:53:20; 427; 4; 29.36; 993.1894140625; 32.38671875
2025-07-07; 01:54:20; 432; 4; 29.35; 993.2830078125; 32.3173828125
2025-07-07; 01:55:20; 436; 5; 29.45; 993.2009765625; 32.279296875
2025-07-07; 01:56:20; 414; 2; 29.43; 993.2711328125; 32.3916015625
2025-07-07; 01:57:20; 409; 1; 29.35; 993.173828125; 32.3623046875
2025-07-07; 01:58:20; 414; 2; 29.41; 993.2402734375; 32.2880859375
2025-07-07; 01:59:20; 414; 2; 29.49; 993.220390625; 32.1796875
2025-07-07; 02:00:20; 416; 2; 29.49; 993.2007421875; 32.1689453125
2025-07-07; 02:01:20; 416; 2; 29.48; 993.18515625; 32.15625
2025-07-07; 02:02:20; 414; 2; 29.5; 993.24359375; 32.146484375
2025-07-07; 02:03:20; 414; 2; 29.52; 993.1928515625; 32.1025390625
2025-07-07; 02:04:20; 421; 3; 29.55; 993.23953125; 32.013671875
2025-07-07; 02:05:20; 427; 4; 29.54; 993.1966796875; 32.001953125
2025-07-07; 02:06:20; 427; 4; 29.59; 993.2198828125; 31.9599609375
2025-07-07; 02:07:20; 400; 0; 29.57; 993.243359375; 32.1171875
2025-07-07; 02:08:20; 414; 2; 29.53; 993.1734375; 32.1142578125
2025-07-07; 02:09:20; 441; 6; 29.72; 993.1958203125; 31.71875
2025-07-07; 02:10:20; 408; 1; 29.52; 993.2398046875; 32.0908203125
2025-07-07; 02:11:20; 417; 2; 29.56; 993.1731640625; 31.9921875
2025-07-07; 02:12:20; 417; 2; 29.59; 993.2471875; 31.9033203125
2025-07-07; 02:13:20; 408; 1; 29.6; 993.2277734375; 31.9599609375
2025-07-07; 02:14:21; 414; 2; 29.67; 993.1729296875; 31.8623046875
2025-07-07; 02:15:21; 408; 1; 29.67; 993.1649609375; 31.83984375
2025-07-07; 02:16:21; 408; 1; 29.68; 993.1532421875; 31.73828125
2025-07-07; 02:17:21; 400; 0; 29.68; 993.180546875; 31.806640625
2025-07-07; 02:18:21; 413; 1; 29.72; 993.1958203125; 31.70703125
2025-07-07; 02:19:21; 418; 2; 29.72; 993.188203125; 31.68359375
2025-07-07; 02:20:21; 418; 2; 29.75; 993.125625; 31.6982421875
2025-07-07; 02:21:21; 428; 4; 29.74; 993.1723046875; 31.5498046875
2025-07-07; 02:22:21; 418; 2; 29.75; 993.1059375; 31.6748046875
2025-07-07; 02:23:21; 428; 4; 29.63; 993.102734375; 31.859375
2025-07-07; 02:24:21; 422; 3; 29.63; 993.0754296875; 31.8818359375
2025-07-07; 02:25:21; 418; 2; 29.56; 993.0639453125; 32.0029296875
2025-07-07; 02:26:21; 422; 3; 29.64; 993.1455859375; 31.91796875
2025-07-07; 02:27:21; 443; 6; 29.69; 993.086875; 31.75
2025-07-07; 02:28:21; 426; 3; 29.67; 993.063671875; 31.8291015625
2025-07-07; 02:29:21; 426; 3; 29.67; 993.0363671875; 31.8173828125
2025-07-07; 02:30:21; 422; 3; 29.67; 993.0090625; 31.8056640625
2025-07-07; 02:31:21; 418; 2; 29.67; 993.0011328125; 31.7822265625
2025-07-07; 02:32:21; 426; 3; 29.68; 992.9620703125; 31.794921875
2025-07-07; 02:33:21; 426; 3; 29.7; 992.9658984375; 31.728515625
2025-07-07; 02:34:21; 426; 3; 29.71; 992.954140625; 31.7861328125
2025-07-07; 02:35:21; 428; 4; 29.69; 993.0398828125; 31.6708984375
2025-07-07; 02:36:21; 422; 3; 29.46; 992.9629296875; 32.1318359375
2025-07-07; 02:37:21; 408; 1; 29.45; 993.0098828125; 32.1884765625
2025-07-07; 02:38:21; 422; 3; 29.42; 992.9006640625; 32.197265625
2025-07-07; 02:39:21; 426; 3; 29.54; 992.9236328125; 32.0244140625
2025-07-07; 02:40:21; 418; 2; 29.57; 992.915703125; 31.9697265625
2025-07-07; 02:41:21; 443; 6; 29.55; 992.9391796875; 31.876953125
2025-07-07; 02:42:21; 428; 4; 29.57; 992.9430078125; 31.84375
2025-07-07; 02:43:21; 428; 4; 29.59; 992.8922265625; 31.9033203125
2025-07-07; 02:44:22; 426; 3; 29.58; 992.9312890625; 31.9365234375
2025-07-07; 02:45:22; 435; 5; 29.59; 992.9468359375; 31.80078125
2025-07-07; 02:46:22; 400; 0; 29.51; 992.8966015625; 32.1123046875
2025-07-07; 02:47:22; 408; 1; 29.56; 992.8728515625; 31.8896484375
2025-07-07; 02:48:22; 400; 0; 29.36; 992.916484375; 32.318359375
2025-07-07; 02:49:22; 436; 5; 29.02; 992.983671875; 32.884765625
2025-07-07; 02:50:22; 447; 7; 29.12; 992.9677734375; 32.7099609375
2025-07-07; 02:51:22; 456; 8; 29.34; 992.947578125; 32.3857421875
2025-07-07; 02:52:22; 456; 8; 29.38; 992.975234375; 32.296875
2025-07-07; 02:53:22; 451; 7; 29.38; 992.975234375; 32.2861328125
2025-07-07; 02:54:22; 443; 6; 29.41; 992.94765625; 32.2763671875
2025-07-07; 02:55:22; 451; 7; 29.45; 993.0019921875; 32.177734375
2025-07-07; 02:56:22; 447; 7; 29.49; 992.9473828125; 32.1455078125
2025-07-07; 02:57:22; 465; 9; 29.52; 992.9394921875; 32.0341796875
2025-07-07; 02:58:22; 465; 9; 29.59; 992.9468359375; 31.9033203125
