Datum; Uhrzeit; eCO2 (ppm); tVOC (ppb); Temperatur (°C); Luftdruck (hpPa); relative Luftfeuchte (%)
2025-05-11; 14:29:09; 400; 0; 21.7; 999.0346875; 39.544921875
2025-05-11; 14:30:09; 450; 7; 21.7; 999.01484375; 39.7353515625
2025-05-11; 14:31:09; 602; 30; 21.71; 998.9751171875; 41.1826171875
2025-05-11; 14:32:09; 400; 0; 21.71; 998.9671875; 38.076171875
2025-05-11; 14:33:09; 451; 7; 21.71; 999.00296875; 38.7607421875
2025-05-11; 14:34:09; 436; 5; 21.72; 998.93546875; 39.03125
2025-05-11; 14:35:09; 580; 27; 21.73; 998.9712109375; 39.3232421875
2025-05-11; 14:36:09; 400; 0; 21.73; 999.00703125; 38.650390625
2025-05-11; 14:37:09; 426; 3; 21.74; 998.9673046875; 38.8203125
2025-05-11; 14:38:09; 448; 7; 21.75; 999.03890625; 39.033203125
2025-05-11; 14:39:09; 403; 0; 21.75; 998.92765625; 38.4052734375
2025-05-11; 14:40:09; 406; 0; 21.76; 998.9358984375; 38.57421875
2025-05-11; 14:41:09; 634; 35; 21.77; 998.8962109375; 40.3701171875
2025-05-11; 14:42:09; 466; 10; 21.77; 998.9041796875; 39.0244140625
2025-05-11; 14:43:09; 581; 27; 21.77; 998.9796484375; 40.42578125
2025-05-11; 14:44:09; 407; 1; 21.76; 998.97171875; 38.0029296875
2025-05-11; 14:45:09; 459; 8; 21.77; 998.9876171875; 38.8896484375
2025-05-11; 14:46:09; 487; 13; 21.78; 998.9399609375; 39.001953125
2025-05-11; 14:47:09; 448; 7; 21.78; 998.884296875; 38.8564453125
2025-05-11; 14:48:10; 414; 2; 21.78; 998.912109375; 38.4521484375
2025-05-11; 14:49:10; 407; 1; 21.76; 998.94390625; 38.1376953125
2025-05-11; 14:50:10; 420; 3; 21.76; 998.8604296875; 38.4287109375
2025-05-11; 14:51:10; 403; 0; 21.75; 998.87203125; 38.0576171875
2025-05-11; 14:52:10; 434; 5; 21.74; 998.9315625; 38.392578125
2025-05-11; 14:53:10; 407; 1; 21.73; 998.9433984375; 38.0224609375
2025-05-11; 14:54:10; 402; 0; 21.72; 998.8440234375; 37.919921875
2025-05-11; 14:55:10; 400; 0; 21.7; 998.9233984375; 37.8623046875
2025-05-11; 14:56:10; 413; 1; 21.69; 998.94328125; 37.7607421875
2025-05-11; 14:57:10; 400; 0; 21.67; 998.88328125; 37.3779296875
2025-05-11; 14:58:10; 435; 5; 21.65; 998.8990625; 37.6669921875
2025-05-11; 14:59:10; 446; 7; 21.64; 998.883125; 37.98046875
2025-05-11; 15:00:10; 461; 9; 21.63; 998.84734375; 38.193359375
2025-05-11; 15:01:10; 495; 14; 21.66; 998.8315625; 38.6328125
2025-05-11; 15:02:10; 435; 5; 21.66; 998.8315625; 37.7685546875
2025-05-11; 15:03:10; 470; 10; 21.67; 998.7640625; 38.3642578125
2025-05-11; 15:04:10; 461; 9; 21.68; 998.78796875; 38.119140625
2025-05-11; 15:05:10; 465; 9; 21.7; 998.87578125; 38.2666015625
2025-05-11; 15:06:10; 470; 10; 21.68; 998.8078125; 38.3212890625
2025-05-11; 15:07:10; 495; 14; 21.7; 998.7923046875; 38.7041015625
2025-05-11; 15:08:10; 527; 19; 21.72; 998.7883984375; 38.8173828125
